dataset,kernel,svm.C,svm.poly.degree,svm.poly.gamma,svm.custom_hermite.degree,svm.custom_gegen.alpha,accuracy,accuracy_std,f1_score,f1_score_std,support_vector_acc,support_vector_std,train_time,run_id
haberman,LINEAR,1,,,,,73.56561264822135,1.062778493446103,62.40191322292332,1.444915968173848,54.46587615283268,1.184367373317519,0.0441940000164322,1
haberman,POLY,1,2.0,"['scale', 'auto']",,,73.60197628458498,1.0520812979521097,62.61829891094232,1.268209670594502,54.4300395256917,0.7877422207266984,0.1073297999682836,1
haberman,RBF,1,,,,,73.52924901185771,1.0471790700161543,62.31703774352619,1.399316915396597,54.64769433465085,0.8192324464031895,0.0626492999726906,1
haberman,HERMITE,1,,,3.0,,73.52924901185771,1.0471790700161543,62.31703774352619,1.399316915396597,55.22832674571805,1.160897826348556,0.0894611999974586,1
haberman,GEGEN,1,,,,0.1,73.85612648221344,1.1130239211061808,63.79640411700234,1.678254838848359,54.75638998682477,0.4611678699460538,0.1025825000251643,1
ionosphere,LINEAR,1,,,,,91.29465541490858,1.1080288480976632,91.1080129285023,1.142135317110848,33.966947960618846,1.6429994534307426,0.0641952000441961,1
ionosphere,POLY,1,2.0,"['scale', 'auto']",,,90.56640546513964,0.7755183934179237,90.32495576039838,0.784408105604612,45.837452280490254,1.3681200814411427,0.1396660999744199,1
ionosphere,RBF,1,,,,,88.60287321679726,1.5087424024247105,87.99635752487367,1.6005105636877357,57.74010448061082,1.2648904758628898,0.0826391000300645,1
ionosphere,HERMITE,1,,,3.0,,64.10126582278481,3.409248756985222,50.131267461873655,4.27844822979186,71.79485633916013,0.2988008445188029,0.5740641000447795,1
ionosphere,GEGEN,1,,,,0.1,99.08177617038376,0.6084422940235074,99.08087173464996,0.6095779674311117,33.80912196102069,5.395080458637144,1.3872472999501042,1
breast,LINEAR,1,,,,,97.26683615370357,0.2405833070347945,97.27167489390304,0.2418719276730786,9.07738142528005,0.4307717087079871,0.0921898000524379,1
breast,POLY,1,2.0,"['scale', 'auto']",,,97.21802918354916,0.2476830597823997,97.21986041062644,0.2486815100541677,10.508831863562936,0.5531862765018447,0.374618100002408,1
breast,RBF,1,,,,,97.26680967135404,0.2718787374678746,97.26936167460455,0.2727703379692023,12.363523211779349,0.4597207191891285,0.2034466000040993,1
breast,HERMITE,1,,,3.0,,96.92521384497232,0.2366916503810687,96.93523222221832,0.2355135432835087,9.516538227271525,0.545407073661498,1.1899540000013076,1
breast,GEGEN,1,,,,0.1,98.45443711766106,0.2845804122081017,98.45375547822044,0.2845112570419838,11.013161727708484,0.9505563910344532,3.0112996000098065,1
australian,LINEAR,1,,,,,85.5072463768116,0.5292005386523344,85.54331824376546,0.5283242878983292,31.94847020933977,1.827821400793908,0.16907689999789,1
australian,POLY,1,2.0,"['scale', 'auto']",,,85.5072463768116,0.5292005386523344,85.54331824376546,0.5283242878983292,34.42834138486313,1.0845383729779556,0.4277791999629698,1
australian,RBF,1,,,,,85.5072463768116,0.5292005386523344,85.54331824376546,0.5283242878983292,37.487922705314006,1.0230196569577188,0.2289392999955453,1
australian,HERMITE,1,,,3.0,,85.5072463768116,0.4667110063185002,85.54018562121695,0.4656098880158895,44.8792270531401,1.7522763134339947,2.092674400017131,1
australian,GEGEN,1,,,,0.1,94.8631239935588,0.6886764824587159,94.85412569617488,0.6908286735664366,35.410628019323674,1.1003233691372958,5.74133399996208,1
heart,LINEAR,1,,,,,85.14403292181069,0.7905091651151676,85.11185360836576,0.7928618294689123,40.65843621399177,1.1164329190329665,0.0436887999530881,1
heart,POLY,1,2.0,"['scale', 'auto']",,,85.4320987654321,0.8271502568823764,85.366056571778,0.8207756047268082,45.14403292181071,1.041892090631453,0.0850207000039517,1
heart,RBF,1,,,,,85.06172839506175,0.5221636847921614,85.00079496569974,0.5351852962667983,54.11522633744856,0.7862128878412695,0.0567251999746076,1
heart,HERMITE,1,,,3.0,,78.23045267489712,1.1990783773113969,78.26181454569486,1.2071567827342615,64.44444444444444,1.0762713440841165,0.1122707000467926,1
heart,GEGEN,1,,,,0.1,97.1604938271605,0.9100141723249368,97.15897225808249,0.9113032303983636,48.31275720164609,1.4160206200893213,0.2357054000021889,1
sonar,LINEAR,1,,,,,86.32324496529753,2.150205257751608,86.31084245068604,2.135188995935296,54.64643304130162,3.274985057124173,0.0404627000098116,1
sonar,POLY,1,2.0,"['scale', 'auto']",,,80.82574809420868,2.3771456748229616,80.76157070203178,2.3958486005035367,81.14631926271474,2.666692471641393,0.0665321000269614,1
sonar,RBF,1,,,,,75.53731937649334,3.808501846900858,74.8555300037607,4.110603566100624,90.7608942996928,1.7748203429956622,0.0497801000019535,1
sonar,HERMITE,1,,,3.0,,58.43895778814427,1.858247559037628,47.77035860758605,2.8292223757378303,89.53094777562862,1.448982281314353,0.2458370000240393,1
sonar,GEGEN,1,,,,0.1,96.95500056889294,2.044148467368882,96.95709309184066,2.040334068109168,83.11867106610536,1.863060000156442,1.022345800010953,1
german,LINEAR,1,,,,,78.3111111111111,0.6644407283433797,77.20286059240283,0.7594772632008722,54.322222222222216,0.8922851783517274,0.2393648999859579,1
german,POLY,1,2.0,"['scale', 'auto']",,,77.65555555555555,0.5718715214425674,75.74877252325876,0.6424585079949179,58.322222222222216,0.6857455166315338,0.83555159997195,1
german,RBF,1,,,,,75.84444444444445,0.7984552988098541,71.542414589079,1.3708950611317048,61.08888888888888,0.354163943344649,0.4456859999918379,1
german,HERMITE,1,,,3.0,,70.0,0.4554200340426502,57.64790217241785,0.5960339181854782,61.73333333333333,0.3377485367460147,7.470786800025962,1
german,GEGEN,1,,,,0.1,96.8888888888889,0.3685138655950458,96.8822730128852,0.3707026767432535,71.19999999999999,1.110888866662219,17.65249050001148,1
splice,LINEAR,1,,,,,84.1,0.287389270141723,84.10344816807572,0.2874431943834294,42.55555555555556,0.5420582630066869,0.3434519000002183,1
splice,POLY,1,2.0,"['scale', 'auto']",,,85.74444444444445,0.4636143565561135,85.74557382771634,0.4636597441429287,55.54444444444445,0.4725815626252603,0.8152715999749489,1
splice,RBF,1,,,,,84.72222222222223,0.4694362260950568,84.7224158315002,0.4695590250147097,67.23333333333332,0.6235105709599191,0.4487963000428863,1
splice,HERMITE,1,,,3.0,,51.7,0.4417976744904674,35.24027551419432,0.4992677330367025,96.65555555555557,0.116003405654563,19.27743720001308,1
splice,GEGEN,1,,,,0.1,95.33333333333334,0.2484519974999767,95.31545699809818,0.2516666554287043,98.08888888888887,0.1474055462380219,50.356730700004846,1
haberman,LINEAR,1,,,,,73.56561264822135,1.062778493446103,62.40191322292332,1.444915968173848,54.46587615283268,1.184367373317519,0.0482516000047326,2
haberman,POLY,1,3.0,"['scale', 'auto']",,,73.60197628458498,1.0520812979521097,62.61829891094232,1.268209670594502,54.4300395256917,0.7877422207266984,0.0962974000140093,2
haberman,RBF,1,,,,,73.52924901185771,1.0471790700161543,62.31703774352619,1.399316915396597,54.64769433465085,0.8192324464031895,0.0561947999522089,2
haberman,HERMITE,1,,,4.0,,73.52924901185771,1.0471790700161543,62.31703774352619,1.399316915396597,54.82924901185771,0.8154603941732889,0.077581999998074,2
haberman,GEGEN,1,,,,0.55,73.63820816864296,1.0802370175610203,62.56943462111347,1.5180193311693524,55.37430830039525,0.6317597793702846,0.2942983999964781,2
ionosphere,LINEAR,1,,,,,91.29465541490858,1.1080288480976632,91.1080129285023,1.142135317110848,33.966947960618846,1.6429994534307426,0.0634310999885201,2
ionosphere,POLY,1,3.0,"['scale', 'auto']",,,90.56640546513964,0.7755183934179237,90.32495576039838,0.784408105604612,45.837452280490254,1.3681200814411427,0.1498347999877296,2
